rank,company,country,count,sector,value
411,Mitsui Fudosan,Japan,4638,Real estate investment & services,26951.5
412,ArcelorMittal,Netherlands,216498,Industrial metals & mining,26843.5
413,PPG Industries,US,87693,Chemicals,26828.1
414,Pioneer Natural Resources,US,#N/A,Oil & gas producers,26745.4
415,Northrop Grumman,US,724467,Aerospace & defence,26741
416,T-Mobile US,US,#N/A,Mobile telecommunications,26505.1
417,Norilsk Nickel,Russia,7672,Industrial metals & mining,26413
418,Canadian Pacific Railway,Canada,#N/A,Industrial transportation,26366
419,PTT,Thailand,582282,Oil & gas producers,26326.5
420,Malayan Banking,Malaysia,4085,Banks,26286.8
421,Astra International,Indonesia,24019,Automobiles & parts,26282.2
422,Hess,US,2177151,Oil & gas producers,26116.2
423,Tenaris,Italy,18324,Industrial metals & mining,26049.1
424,Oversea-Chinese Banking,Singapore,#N/A,Banks,26023.6
425,Nippon Steel & Sumitomo Metal,Japan,#N/A,Industrial metals & mining,26022.3
426,Mitsui,Japan,182692,Support services,25913.8
427,China Pacific Insurance,China,#N/A,Life insurance,25885
428,Emirates Telecommunications,UAE,2110,Mobile telecommunications,25830
429,Kweichow Moutai,China,1816,Beverages,25829.2
430,Kering,France,235110,General retailers,25756.2
431,KBC Group,Belgium,2540,Banks,25683.8
432,Tesla Motors,US,635313,Automobiles & parts,25679.4
433,Noble Energy,US,230427,Oil & gas producers,25620.6
434,Brookfield Asset Management,Canada,#N/A,Financial services,25536.2
435,Marathon Petroleum,US,32792,Oil & gas producers,25490.1
436,Aon,US,208092,Nonlife insurance,25376.7
437,Allstate,US,2090452,Nonlife insurance,25296.9
438,Unibail-Rodamco,France,#N/A,Real estate investment trusts,25274.7
439,Air Products & Chemicals,US,#N/A,Chemicals,25197.5
440,Cielo,Brazil,1185258,Financial services,25191.4
441,Keyence,Japan,12700,Electronic & electrical equipment,25133.1
442,Micron Technology,US,383685,Technology hardware & equipment,25100.4
443,Forest Laboratories,US,52421,Pharmaceuticals & biotechnology,25001.6
444,CME Group,US,1018154,Financial services,24848.1
445,Spectra Energy,US,25839,"Gas, water & multiutilities",24756.1
446,Shin-Etsu Chemical,Japan,#N/A,Chemicals,24746.9
447,Applied Materials,US,291883,Technology hardware & equipment,24724
448,TE Connectivity,US,107850,Electronic & electrical equipment,24719.1
449,American Electric Power,US,#N/A,Electricity,24713
450,Crown Castle International,US,#N/A,Real estate investment trusts,24647.3
451,Beiersdorf,Germany,109717,Personal goods,24645.4
452,Grupo Mexico,Mexico,4511,Industrial metals & mining,24598.2
453,Marathon Oil,US,57738,Oil & gas producers,24572.9
454,Nomura,Japan,384730,Financial services,24571.9
455,RWE,Germany,173937,"Gas, water & multiutilities",24559
456,Saic Motor,China,37,Automobiles & parts,24558.4
457,Bankia,Spain,104068,Banks,24318.3
458,Southern Copper,US,13102,Industrial metals & mining,24264.6
459,Posco,South Korea,33854,Industrial metals & mining,24244.7
460,Formosa Petrochemical,Taiwan,2463,Oil & gas producers,24243
461,Mitsubishi Electric,Japan,185731,Industrial engineering,24227.3
462,Central Japan Railway,Japan,#N/A,Travel & leisure,24123.5
463,ICICI Bank,India,131800,Banks,24078.3
464,SK Hynix,South Korea,47312,Technology hardware & equipment,24019.2
465,Cardinal Health,US,318321,Food & drug retailers,23995.3
466,State Bank of India,India,#N/A,Banks,23972.6
467,Naver,South Korea,56810,Software & computer services,23968.3
468,British Sky Broadcasting,UK,#N/A,Media,23953.9
469,Paccar,US,21719,Industrial engineering,23917.1
470,Scottish & Southern Energy,UK,#N/A,Electricity,23876.4
471,Chunghwa Telecom,Taiwan,41014,Fixed line telecommunications,23869
472,Sempra Energy,US,31131,"Gas, water & multiutilities",23720.9
473,Itausa,Brazil,450,Financial services,23481
474,Scania,Sweden,399892,Industrial engineering,23480.9
475,ARM Holdings,UK,61091,Technology hardware & equipment,23442.5
476,Aviva,UK,1711926,Life insurance,23435.4
477,HCA Holdings,US,11219,Health care equipment & services,23297.2
478,Michelin,France,4016008,Automobiles & parts,23245.2
479,Mediatek,Taiwan,149763,Technology hardware & equipment,23187.2
480,Tokio Marine,Japan,8946,Nonlife insurance,23148.9
481,Housing Development Finance,India,#N/A,Financial services,23096.1
482,Continental Resources,US,45121,Oil & gas producers,23067.3
483,Telef Brasil,Brazil,69,Fixed line telecommunications,22854.5
